id,Команда,М,В,П,% побед,Заб,Проп,Рзн,Дома,В гостях,logo,logo_links
1,УНИКС,36,26,10,72.2,86.0,76.4,+9.6,14-4,12-6,https://www.sports.ru/basketball/club/unics/,https://photobooth.cdn.sports.ru/preset/ugc/6/ee/2249382b84a72a64dc71479985518.jpeg
2,Зенит,36,26,10,72.2,83.9,75.1,+8.8,14-4,12-6,https://www.sports.ru/basketball/club/zenit/,https://photobooth.cdn.sports.ru/preset/ugc/1/64/247e58bfe4e68bbc0bde49f74f95e.jpeg
3,ЦСКА,36,25,11,69.4,86.3,77.9,+8.5,13-5,12-6,https://www.sports.ru/basketball/club/bk-cska/,https://photobooth.cdn.sports.ru/preset/ugc/3/3c/f1eb95c5644c998213114d4314d5a.jpeg
4,Локомотив-Кубань,36,23,13,63.9,84.2,80.0,+4.1,14-4,9-9,https://www.sports.ru/basketball/club/lokomotiv-kuban/,https://photobooth.cdn.sports.ru/preset/ugc/c/47/5ef9b36934a61a1fdfef6c1be8191.jpeg
5,Парма,36,20,16,55.6,79.4,78.1,+1.3,11-7,9-9,https://www.sports.ru/basketball/club/parma/,https://photobooth.cdn.sports.ru/preset/ugc/5/92/497271dc24518a184dc114c28e70d.jpeg
6,Енисей,36,19,17,52.8,83.8,83.7,+0.1,11-7,8-10,https://www.sports.ru/basketball/club/enisey/,https://photobooth.cdn.sports.ru/preset/ugc/d/07/bd7503a224225b7024a1bcd18a877.jpeg
1,Уралмаш,40,26,14,65.0,82.1,78.4,+3.7,13-7,13-7,https://www.sports.ru/basketball/club/uralmash/,https://photobooth.cdn.sports.ru/preset/tc_team/b/c3/008b8c32a45dfae8fbeec82c6de32.jpeg
2,Самара,40,22,18,55.0,79.2,78.7,+0.5,11-9,11-9,https://www.sports.ru/basketball/club/samara/,https://photobooth.cdn.sports.ru/preset/ugc/3/9a/15e1a8ab243ca82d296d2b006d29f.jpeg
3,Автодор,40,19,21,47.5,78.7,78.8,-0.2,8-12,11-9,https://www.sports.ru/basketball/club/avtodor/,https://photobooth.cdn.sports.ru/preset/ugc/d/6a/641c821b04335954682700ec9a821.jpeg
4,МБА,40,19,21,47.5,75.7,77.0,-1.3,8-12,11-9,https://www.sports.ru/basketball/club/mba/,https://photobooth.cdn.sports.ru/preset/ugc/2/83/7012191d3477db6a6837cd10c2bd2.jpeg
5,Руна,40,16,24,40.0,78.1,81.0,-3.0,9-11,7-13,https://www.sports.ru/basketball/club/runa/,https://photobooth.cdn.sports.ru/preset/tc_team/4/cb/fc5e966df44a99a04c26c39af6df1.jpeg
6,Пари Нижний Новгород,40,13,27,32.5,73.1,77.7,-4.6,7-13,6-14,https://www.sports.ru/basketball/club/bk-nizhni-novgorod/,https://photobooth.cdn.sports.ru/preset/ugc/3/c4/5fdb2e2b64ae68511f0b55609ff98.jpeg
7,Астана,40,13,27,32.5,75.2,82.8,-7.6,9-11,4-16,https://www.sports.ru/basketball/club/astana/,https://photobooth.cdn.sports.ru/preset/ugc/c/83/617e86ed840e99afa38f1b0c117b6.jpeg
8,Минск,40,1,39,2.5,69.6,86.3,-16.7,1-19,0-20,https://www.sports.ru/basketball/club/cmoki-minsk/,https://photobooth.cdn.sports.ru/preset/ugc/6/bb/8beca8db346259ca3b2929e756585.jpeg
